9/30/2007,00:25,ne,us,triangle,120,41.1838889,-96.0308333
9/30/2007,01:00,ga,us,light,900,32.4608333,-84.9877778
9/30/2007,12:00,ca,us,circle,1200,37.9358333,-122.3466667
9/30/2007,16:50,ca,us,sphere,180,33.6188889,-117.9280556
9/30/2007,17:30,ne,us,cigar,1,33.639236,-111.007724
9/30/2007,18:30,nc,us,other,300,34.4872222,-78.6563889
9/30/2007,18:30,wy,us,other,1500,41.3113889,-105.5905556
9/30/2007,19:30,il,us,sphere,300,42.3702778,-87.9019444
9/30/2007,19:53,ar,us,light,15,35.0011111,-92.6297222
9/30/2007,20:20,pa,us,unknown,240,39.8277778,-77.9036111
9/30/2007,21:14,az,us,other,120,33.4147222,-111.9086111
9/30/2007,21:35,mb,ca,triangle,10,49.883333,-97.166667
9/30/2007,21:45,co,us,formation,10,40.3977778,-105.0744444
9/30/2007,22:00,ga,us,triangle,90,32.5380556,-81.9325
9/30/2007,22:00,ga,us,triangle,90,32.5380556,-81.9325
9/30/2008,01:25,nm,us,diamond,120,35.5938889,-105.2233333
9/30/2008,06:15,tx,us,other,5,30.2669444,-97.7427778
9/30/2008,08:00,ga,us,other,600,33.9411111,-84.2136111
9/30/2008,13:00,tx,us,other,240,29.7630556,-95.3630556
9/30/2008,20:30,nc,us,light,120,35.0525,-78.8786111
9/30/2009,07:36,az,us,disk,60,34.3616667,-110.2947222
9/30/2009,16:00,,gb,other,1,52.166667,-2.166667
9/30/2009,19:30,tx,us,circle,1200,29.7630556,-95.3630556
9/30/2009,19:35,mo,us,disk,20,38.6272222,-90.1977778
9/30/2009,21:00,il,us,triangle,7200,42.19,-87.9083333
9/30/2009,21:30,il,us,light,5,42.1538889,-88.1361111
9/30/2009,22:30,fl,us,cigar,120,27.273049,-80.358226
9/30/2010,02:25,in,us,flash,35,40.2794444,-86.5108333
9/30/2010,02:50,tx,us,triangle,30,32.7252778,-97.3205556
9/30/2010,05:30,wa,us,triangle,600,47.6733333,-117.2383333
9/30/2010,07:00,mi,us,sphere,480,42.6388889,-83.2911111
9/30/2010,10:30,sc,us,changing,1800,34.0013889,-81.7722222
9/30/2010,10:37,tx,us,disk,300,33.0197222,-96.6986111
9/30/2010,13:05,ia,us,triangle,0.5,42.0083333,-91.6438889
9/30/2010,19:00,wi,us,diamond,3600,42.6780556,-88.2761111
9/30/2010,19:19,ut,us,light,1200,40.8716667,-111.8913889
9/30/2010,20:00,mi,us,sphere,600,42.6183333,-82.5311111
9/30/2010,20:23,ca,us,light,480,34.4263889,-117.3
9/30/2010,21:00,tn,us,disk,15,36.163287,-86.782412
9/30/2010,21:30,il,us,light,600,41.85,-87.65
9/30/2010,21:55,wi,us,triangle,7,43.319727,-87.953423
9/30/2010,22:00,co,us,triangle,3,37.9452778,-104.8347222
9/30/2010,22:30,ga,us,light,30,33.3047222,-83.6833333
9/30/2010,22:30,mn,us,light,3600,47.8325,-96.1330556
9/30/2010,23:00,ca,us,unknown,1800,33.8675,-117.9972222
9/30/2010,23:00,ky,us,triangle,180,37.0833333,-88.6
9/30/2011,03:00,fl,us,chevron,1200,25.7902778,-80.1302778
9/30/2011,03:46,nj,us,circle,5,40.8041667,-74.0125
9/30/2011,12:19,ny,us,cigar,45,42.9911111,-76.8025
9/30/2011,17:40,tn,us,sphere,30,36.4194444,-82.3041667
9/30/2011,19:35,tn,us,oval,300,35.9605556,-83.9208333
9/30/2011,20:00,wi,us,triangle,300,42.9763889,-88.1083333
