2015,4,22,Calbuco,Chile-S,Chile,-41.326,-72.614,2003,Stratovolcano,Historical
2015,5,7,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,Historical
2015,7,31,Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,1807,Stratovolcano,Historical
2015,10,16,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,Holocene
2015,10,,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,Historical
2016,5,9,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,Holocene
2016,5,21,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,Holocene
2016,6,9,Yellowstone,US-Wyoming,United States,44.43,-110.67,2805,Caldera,Tephrochronology
2016,9,27,Rinjani,Lesser Sunda Is,Indonesia,-8.42,116.47,3726,Stratovolcano,Historical
2016,10,8,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,Historical
2017,3,15,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,Historical
2017,4,13,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,Holocene
2017,6,6,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,Historical
2017,7,1,Dieng Volc Complex,Java,Indonesia,-7.2,109.92,2565,Complex volcano,Historical
2017,9,12,Campi Flegrei,Italy,Italy,40.827,14.139,458,Caldera,Historical
2017,9,23,Aoba,Vanuatu-SW Pacific,Vanuatu,-15.4,167.83,1496,Shield volcano,Historical
2017,12,18,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,Historical
2017,12,27,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,Holocene
2018,1,5,Kadovar,New Guinea-NE of,Papua New Guinea,-3.62,144.62,365,Stratovolcano,Holocene
2018,1,13,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,Historical
2018,1,23,Kusatsu-Shirane,Honshu-Japan,Japan,36.62,138.55,2176,Stratovolcano,Historical
2018,2,1,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,Historical
2018,2,9,Kadovar,New Guinea-NE of,Papua New Guinea,-3.62,144.62,365,Stratovolcano,Holocene
2018,3,21,Ijen,Java,Indonesia,-8.058,114.242,2799,Stratovolcano,Historical
2018,4,28,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,Historical
2018,4,,Aoba,Vanuatu-SW Pacific,Vanuatu,-15.4,167.83,1496,Shield volcano,Historical
