Laos,7275560,32,24.4,35.7
Latvia,1886198,30,44,69
Lebanon,6825445,667,30,78
Liberia,5057681,53,19,53
Libya,6847352,4,28.8,78.2
Liechtenstein,38128,109,41,15
Lithuania,2722289,43,45,71
Luxembourg,625978,242,40,88
Madagascar,27691018,48,19.6,38.5
Malaysia,32365999,99,30,78
Maldives,540544,1802,30,35
Mali,20250833,17,16.3,44
Malta,441543,1380,43,93
Martinique,375265,354,47,92
Mauritania,4649658,5,20,57
Mauritius,1271768,626,37,41
Mayotte,272815,728,20,46
Mexico,128932753,66,29,84
Moldova,4033963,123,38,43
Monaco,39242,26337,54,100
Mongolia,3278290,2,28,67
Montenegro,628066,47,39,68
Morocco,36910560,83,30,64
Mozambique,31255435,40,17.6,38.3
Namibia,2540905,3,22,55
Nepal,29136808,203,25,21
Curacao,164093,370,41.6,88.7
Netherlands,17134872,508,43,92
New Zealand,4822233,18,38,87
Nicaragua,6624554,55,26.5,57.2
Niger,24206644,19,15.2,16.5
Nigeria,206139589,226,18,52
North Macedonia,2083374,83,39,59
Norway,5421241,15,40,83
Oman,5106626,16,31,87
Pakistan,220892340,287,23,35
Panama,4314767,58,30,68
Paraguay,7132538,18,26,62
Peru,32971854,26,31,79
Philippines,109581078,368,26,47
Poland,37846611,124,42,60
Portugal,10196709,111,46,66
Puerto Rico,2860853,323,44,88
Qatar,2881053,248,32,96
Republic of the Congo,5518087,16,17,46
Reunion,895312,358,36,100
Romania,19237691,84,43,55
Russia,145934462,9,40,74
Rwanda,12952218,525,20,18
Saint Kitts and Nevis,53199,205,34.8,32.9
Saint Lucia,183627,301,34,19
Saint Vincent and the Grenadines,115000,307,33,78
San Marino,33931,566,47,97
Saudi Arabia,34813871,16,32,84
Senegal,16743927,87,19,49
Serbia,8737371,100,42,56
Seychelles,98347,214,34,56
Singapore,5850342,8358,42,99
Slovakia,5459642,114,41,54
Slovenia,2078938,103,45,55
Somalia,15893222,25,17,47
South Africa,59308690,49,28,67
South Korea,51269185,527,44,82
Spain,46754778,94,45,80
Sri Lanka,21413249,341,34,18
Sudan,43849260,25,20,35
Suriname,586632,4,29,65
Sweden,10099265,25,41,88
Switzerland,8654622,219,43,74
Syria,17390388,95,25.6,60
Taiwan,23816775,673,42,79
Tanzania,59734218,67,18,37
Thailand,69799978,137,40,51
Timor-Leste,1318445,89,20.8,32.8
Togo,8278724,152,19,43
Trinidad and Tobago,1399488,273,36,52
Tunisia,11818619,76,33,70
Turkey,84339067,110,32,76
US,331002651,36,38,83
Uganda,45741007,229,16.7,25.7
Ukraine,43733762,75,41,69
United Arab Emirates,9890402,118,33,86
United Kingdom,67886011,281,40,83
Uruguay,3473730,20,36,96
Uzbekistan,33469203,79,28,50
Venezuela,28435940,32,30,80
Vietnam,97338579,314,32,38
Zambia,18383955,25,18,45
Zimbabwe,14862924,38,18.7,38.4
