8842,6258766,0,9134,2018,Toppen av ingenting
8843,6708044,3,9137,2018,La tribu
8844,5690810,3,9140,2018,Ophelia
8845,2709692,3,9150,2018,The Grinch
8846,6857988,3,9153,2018,I am Not an Easy Man / Je ne suis pas un homme facile
8847,6927152,1,9163,2018,Rampant
8848,8359848,3,9167,2018,Climax
8849,5980638,3,9235,2018,The Transcendents
8850,7755856,3,9245,2018,Banana Split
8851,6522668,3,9260,2018,Diamantino
8852,8267604,3,9287,2018,Capernaum
8853,7785128,3,9303,2018,Gekijo-ban Non Non Biyori: Vacation
8854,6081670,0,9307,2018,Possum
8855,4003440,1,9308,2018,The House that Jack Built
8856,8954732,3,9357,2018,The Princess Switch
8857,4006302,3,9412,2018,Level 16
8859,7543930,1,9450,2018,In Safe Hands
8860,7241926,3,9447,2018,Tell It to the Bees
8861,5291792,3,9445,2018,Furlough
8862,2069797,1,9478,2018,Delirium
8863,7838252,1,9961,2018,K.G.F: Chapter 1
8864,6466058,3,9503,2018,Ask for Jane
8865,6499752,2,9520,2018,Upgrade
8866,7086706,1,9542,2018,Deep Blue Sea 2
8867,7262882,3,9568,2018,Master Z: The Ip Man Legacy
8868,5397194,0,9630,2018,Anon
8869,6728096,3,9798,2018,The Breaker Upperus
8870,7745956,3,9807,2018,She-Ra and the Princesses of Power
8872,6435258,1,10049,2018,Bethany Hamilton: Unstoppable
8873,7225144,3,9968,2018,Bearkittens
8874,6342316,3,9969,2018,Undertow
8875,7468616,0,9976,2018,The Boat
8876,7073710,3,10032,2018,What Keeps You Alive
8877,6010628,3,10089,2018,Zoe
8878,8179388,0,8749,2019,Rim of the World
8879,2386490,2,8607,2019,How to Train Your Dragon: The Hidden World
8880,9358120,2,8609,2019,We Are Little Zombies
8881,6811018,1,8615,2019,The Kid Who Would be King
8882,4139588,2,8616,2019,Polar
8883,5316540,3,8617,2019,Close
8884,6476140,1,8620,2019,Serenity
8885,6078866,3,8623,2019,Soni
8886,6857112,3,8681,2019,Us
8887,5719748,1,8639,2019,Cold Pursuit
8888,7605074,3,8640,2019,Wandering Earth (Liu Lang Di Qiu)
8889,437086,3,8642,2019,Alita: Battle Angel
8890,3513498,3,8645,2019,Lego Movie 2: The Second Part
8891,9109492,3,8647,2019,American Woman
8892,7458762,0,8655,2019,Le chant du loup
8894,4154664,3,8668,2019,Captain Marvel
8895,6513120,3,8679,2019,Fighting with My Family
8896,8155288,3,8684,2019,Happy Death Day 2U
